iter,source_file,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99
6,iter_006_8222e242_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,2.0,6.0,197.0,100.0,100.0,42.0,35.0,16.0,25.0,33.0,45.0,42.0,35.0,16.0,25.0,33.0,45.0,50.0,5.0,50.0,50.0,50.0,5.0,50.0,0.0,-49.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,21.0,4.0,24.0,5.0,29.0,6.0,47.0,7.0,3.0,8.0,2.0,9.0,43.0,10.0,34.0,11.0,21.0,12.0,24.0,13.0,29.0,14.0,47.0,15.0,100.0,16.0,50.0,17.0,50.0,18.0,50.0,19.0,43.0,20.0,47.0,21.0,29.0,22.0,50.0,23.0,100.0,24.0,42.0,25.0,34.0,26.0,26.0,27.0,18.0,28.0,28.0,29.0,50.0,30.0,3.0,31.0,2.0
6,iter_006_8222e242_response.txt,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,43.0,34.0,24.0,19.0,28.0,49.0,14.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.0,-99.0,0.0,100.0,1.0,42.0,2.0,35.0,3.0,16.0,4.0,25.0,5.0,33.0,6.0,45.0,7.0,42.0,8.0,35.0,9.0,16.0,10.0,25.0,11.0,33.0,12.0,45.0,13.0,50.0,14.0,5.0,15.0,50.0,16.0,50.0,17.0,50.0,18.0,5.0,19.0,50.0,20.0,0.0,21.0,-49.0,22.0,0.0,23.0,100.0,24.0,1.0,25.0,43.0,26.0,2.0,27.0,34.0,28.0,3.0,29.0,21.0,30.0,4.0,31.0,24.0,32.0,5.0
7,iter_007_6e1b1487_prompt.txt,1.0,2.0,50.0,100.0,42.0,34.0,22.0,19.0,33.0,48.0,2.0,7.0,198.0,100.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,43.0,34.0,24.0,19.0,28.0,49.0,14.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.0,-99.0,0.0,100.0,1.0,42.0,2.0,35.0,3.0,16.0,4.0,25.0,5.0,33.0,6.0,45.0,7.0,42.0,8.0,35.0,9.0,16.0,10.0,25.0,11.0,33.0,12.0,45.0,13.0,50.0,14.0,5.0,15.0,50.0,16.0,50.0,17.0,50.0,18.0,5.0,19.0,50.0,20.0,0.0,21.0,-49.0,22.0,0.0,23.0,100.0,24.0,1.0,25.0,43.0
7,iter_007_6e1b1487_response.txt,100.0,42.0,34.0,22.0,19.0,33.0,48.0,42.0,34.0,22.0,19.0,33.0,48.0,15.0,100.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0,3.0,8.0,2.0,9.0,43.0,0.9,48.0,100.0,50.0,50.0,15.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,100.0,1.0,43.0,2.0,34.0,1.0,50.0,14.0,49.0,14.0,100.0,0.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0,3.0,8.0,2.0,9.0,43.0,10.0,34.0,11.0,24.0
8,iter_008_ef68c2b4_prompt.txt,1.0,2.0,50.0,100.0,42.0,34.0,26.0,19.0,29.0,48.0,2.0,8.0,198.0,100.0,100.0,42.0,34.0,22.0,19.0,33.0,48.0,42.0,34.0,22.0,19.0,33.0,48.0,15.0,100.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0,3.0,8.0,2.0,9.0,43.0,0.9,48.0,100.0,50.0,50.0,15.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,100.0,1.0,43.0,2.0,34.0,1.0,50.0,14.0,49.0,14.0,100.0,0.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0
8,iter_008_ef68c2b4_response.txt,100.0,0.9,0.0,0.0,-100.0,2.0,100.0,0.0,-4.0,100.0,42.0,34.0,22.0,19.0,33.0,48.0,42.0,34.0,22.0,19.0,33.0,48.0,15.0,100.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0,3.0,8.0,2.0,9.0,43.0,0.9,48.0,100.0,50.0,50.0,15.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,100.0,1.0,43.0,2.0,34.0,1.0,50.0,14.0,49.0,14.0,100.0,0.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0
9,iter_009_e94d3c7e_prompt.txt,1.0,2.0,50.0,100.0,42.0,34.0,24.0,19.0,30.0,49.0,2.0,9.0,198.0,100.0,100.0,0.9,0.0,0.0,-100.0,2.0,100.0,0.0,-4.0,100.0,42.0,34.0,22.0,19.0,33.0,48.0,42.0,34.0,22.0,19.0,33.0,48.0,15.0,100.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,0.0,100.0,1.0,43.0,2.0,34.0,3.0,24.0,4.0,19.0,5.0,28.0,6.0,49.0,7.0,3.0,8.0,2.0,9.0,43.0,0.9,48.0,100.0,50.0,50.0,15.0,100.0,43.0,34.0,24.0,19.0,28.0,49.0,3.0,2.0,43.0,34.0,24.0,19.0,28.0,49.0,100.0,1.0,43.0,2.0,34.0,1.0,50.0,14.0,49.0,14.0,100.0,0.0,0.0
9,iter_009_e94d3c7e_response.txt,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,0.0,-5.0,0.1,0.1,-2.0,2.0,100.0,0.95,0.05,0.05,0.95,0.9,100.0,10.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.9,45.0,0.9,45.0,0.81,90.0,0.81,-4.5,90.0,0.81,90.0,100.0,100.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.0,-99.0,0.0,100.0,1.0,42.0,2.0,35.0,3.0,16.0,4.0,25.0,5.0,33.0,6.0,45.0,7.0,42.0,8.0,35.0,9.0,16.0,10.0,25.0,11.0,33.0,12.0,45.0,13.0,50.0,14.0,5.0,15.0,50.0,16.0,50.0,17.0
10,iter_010_30f16031_response.txt,100.0,100.0,100.0,-100.0,100.0,1.1,100.0,1.1,110.0,100.0,10.0,1.05,20.0,100.0,0.9,0.0,0.95,0.98,5.0,5.0,0.9,0.9,-100.0,100.0,100.0,100.0,0.9,0.0,0.0,-100.0,1.0,100.0,0.9,1.0,0.9,2.0,0.0,3.0,0.0,4.0,-100.0,5.0,1.0,6.0,100.0,7.0,0.0,8.0,-4.0,9.0,100.0,10.0,42.0,11.0,34.0,12.0,22.0,13.0,19.0,14.0,33.0,15.0,48.0,16.0,42.0,17.0,34.0,18.0,22.0,19.0,19.0,20.0,33.0,21.0,48.0,22.0,15.0,23.0,100.0,24.0,0.0,25.0,100.0,26.0,1.0,27.0,43.0,28.0,2.0,29.0,34.0,30.0,3.0,31.0,24.0,32.0,0.0,33.0,100.0,34.0
10,iter_010_30f16031_prompt.txt,1.0,2.0,50.0,100.0,42.0,38.0,21.0,18.0,28.0,51.0,2.0,10.0,198.0,100.0,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,0.0,-5.0,0.1,0.1,-2.0,2.0,100.0,0.95,0.05,0.05,0.95,0.9,100.0,10.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.9,45.0,0.9,45.0,0.81,90.0,0.81,-4.5,90.0,0.81,90.0,100.0,100.0,50.0,1.0,50.0,0.9,100.0,0.9,-5.0,100.0,0.9,100.0,0.0,-99.0,0.0,100.0,1.0,42.0,2.0,35.0,3.0,16.0,4.0,25.0,5.0,33.0,6.0,45.0,7.0,42.0,8.0,35.0,9.0,16.0,10.0
11,iter_011_4338109a_prompt.txt,1.0,2.0,50.0,100.0,44.0,35.0,22.0,20.0,31.0,46.0,2.0,11.0,198.0,100.0,100.0,100.0,100.0,-100.0,100.0,1.1,100.0,1.1,110.0,100.0,10.0,1.05,20.0,100.0,0.9,0.0,0.95,0.98,5.0,5.0,0.9,0.9,-100.0,100.0,100.0,100.0,0.9,0.0,0.0,-100.0,1.0,100.0,0.9,1.0,0.9,2.0,0.0,3.0,0.0,4.0,-100.0,5.0,1.0,6.0,100.0,7.0,0.0,8.0,-4.0,9.0,100.0,10.0,42.0,11.0,34.0,12.0,22.0,13.0,19.0,14.0,33.0,15.0,48.0,16.0,42.0,17.0,34.0,18.0,22.0,19.0,19.0,20.0,33.0,21.0,48.0,22.0,15.0,23.0,100.0,24.0,0.0,25.0,100.0,26.0,1.0,27.0
11,iter_011_4338109a_response.txt,100.0,100.0,100.0,1.1,-100.0,100.0,0.9,1.0,50.0,100.0,110.0,0.0,1.0,100.0,100.0,2.0,-2.0,-2.0,-5.0,-100.0,100.0,-5.0,0.9,0.95,100.0,0.0,100.0,1.0,100.0,2.0,-2.0,3.0,2.0,5.0,3.0,5.0,4.0,0.0,0.0,5.0,-50.0,6.0,1.1,7.0,-2.0,8.0,2.0,9.0,-5.0,10.0,5.0,11.0,100.0,12.0,100.0,13.0,0.9,14.0,-2.0,15.0,2.0,16.0,0.0,17.0,-5.0,18.0,0.1,19.0,0.1,20.0,-2.0,21.0,2.0,22.0,100.0,23.0,0.95,24.0,0.05,25.0,0.05,26.0,0.95,27.0,0.9,28.0,100.0,29.0,10.0,30.0,50.0,31.0,1.0,32.0,50.0,33.0,0.9,34.0,100.0,35.0
12,iter_012_97a06534_prompt.txt,1.0,2.0,50.0,100.0,45.0,34.0,25.0,18.0,29.0,47.0,2.0,12.0,198.0,100.0,100.0,100.0,100.0,1.1,-100.0,100.0,0.9,1.0,50.0,100.0,110.0,0.0,1.0,100.0,100.0,2.0,-2.0,-2.0,-5.0,-100.0,100.0,-5.0,0.9,0.95,100.0,0.0,100.0,1.0,100.0,2.0,-2.0,3.0,2.0,5.0,3.0,5.0,4.0,0.0,0.0,5.0,-50.0,6.0,1.1,7.0,-2.0,8.0,2.0,9.0,-5.0,10.0,5.0,11.0,100.0,12.0,100.0,13.0,0.9,14.0,-2.0,15.0,2.0,16.0,0.0,17.0,-5.0,18.0,0.1,19.0,0.1,20.0,-2.0,21.0,2.0,22.0,100.0,23.0,0.95,24.0,0.05,25.0,0.05,26.0,0.95,27.0,0.9,28.0
12,iter_012_97a06534_response.txt,100.0,6.0,100.0,100.0,0.0,-50.0,0.0,100.0,10.0,100.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0,0.0,0.0,1.0,0.0,100.0,0.5,0.005,100.0,0.9,100.0,0.0,100.0,0.9,0.95,0.9,100.0,0.9,100.0,100.0,1.1,0.9,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,7.0,100.0,100.0,-2.0,2.0,0.0,-50.0,100.0,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,8.0,9.0,100.0,-30.0,100.0,-30.0,100.0,-30.0,130.0,99.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,99.0,130.0,99.0,1.31313131313,-30.0,1.31313131313,100.0,0.0,99.0,0.0
13,iter_013_924f79cd_prompt.txt,1.0,2.0,50.0,100.0,42.0,35.0,22.0,22.0,30.0,47.0,2.0,13.0,198.0,100.0,100.0,6.0,100.0,100.0,0.0,-50.0,0.0,100.0,10.0,100.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0,0.0,0.0,1.0,0.0,100.0,0.5,0.005,100.0,0.9,100.0,0.0,100.0,0.9,0.95,0.9,100.0,0.9,100.0,100.0,1.1,0.9,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,7.0,100.0,100.0,-2.0,2.0,0.0,-50.0,100.0,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,8.0,9.0,100.0,-30.0,100.0,-30.0,100.0,-30.0,130.0,99.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0
13,iter_013_924f79cd_response.txt,100.0,40.0,100.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,2.0,0.0,0.0,100.0,0.0,1.1,0.0,0.0,30.0,2.0,100.0,1.05,100.0,1.05,-100.0,130.0,1.05,100.0,1.05,105.0,100.0,1.05,105.0,100.0,1.05,105.0,-30.0,1.05,-31.5,100.0,1.05,105.0,1.1,1.05,1.155,100.0,1.05,105.0,1.1,1.05,1.155,110.0,1.05,115.5,100.0,1.05,105.0,10.0,1.05,10.5,1.05,1.05,1.1025,20.0,1.05,21.0,100.0,1.05,105.0,0.9,1.05,0.945,0.0,1.05,0.0,0.95,1.05,0.9975,0.98,1.05,1.029,5.0,1.05,5.25,5.0,1.05,5.25,100.0,100.0,100.0,100.0,6.0,100.0,100.0,0.0,-50.0,0.0,100.0,10.0,100.0,-30.0
14,iter_014_c194af3b_response.txt,100.0,3.0,100.0,100.0,100.0,1.0,100.0,-1.0,1.0,-100.0,130.0,0.0,0.0,10.0,20.0,100.0,50.0,2.0,100.0,-50.0,50.0,100.0,50.0,2.0,100.0,0.0,0.99,-100.0,2.3,-100.0,130.0,-100.0,2.3,99.0,-100.0,227.7,127.7,100.0,0.0,100.0,2.0,100.0,100.0,2.0,0.0,0.99,2.0,100.0,0.0628319,0.0,0.0,0.0,25.0,2.0,1.0,50.0,0.0,75.0,3.0,2.0,-1.0,100.0,2.0,0.0,100.0,100.0,0.0,1.0,2.0,99.0,-100.0,130.0,0.0,99.0,100.0,0.0,1.0,0.99,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0
14,iter_014_c194af3b_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,23.0,19.0,37.0,42.0,2.0,14.0,198.0,100.0,100.0,40.0,100.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,2.0,0.0,0.0,100.0,0.0,1.1,0.0,0.0,30.0,2.0,100.0,1.05,100.0,1.05,-100.0,130.0,1.05,100.0,1.05,105.0,100.0,1.05,105.0,100.0,1.05,105.0,-30.0,1.05,-31.5,100.0,1.05,105.0,1.1,1.05,1.155,100.0,1.05,105.0,1.1,1.05,1.155,110.0,1.05,115.5,100.0,1.05,105.0,10.0,1.05,10.5,1.05,1.05,1.1025,20.0,1.05,21.0,100.0,1.05,105.0,0.9,1.05,0.945,0.0,1.05,0.0,0.95,1.05,0.9975,0.98,1.05,1.029,5.0,1.05,5.25,5.0,1.05,5.25
15,iter_015_b6241aee_response.txt,100.0,100.0,100.0,-30.0,130.0,1.2,1.1,130.0,-100.0,100.0,100.0,100.0,100.0,1.05,1.05,130.0,-100.0,1.05,130.0,1.05,130.0,100.0,1.03,100.0,6.0,100.0,100.0,0.0,-50.0,0.0,100.0,10.0,100.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0,0.0,0.0,1.0,0.0,100.0,0.5,0.005,100.0,0.9,100.0,0.0,100.0,0.9,0.95,0.9,100.0,0.9,100.0,100.0,1.1,0.9,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,7.0,100.0,100.0,-2.0,2.0,0.0,-50.0,100.0,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,8.0,9.0,100.0,-30.0,100.0,-30.0,100.0,-30.0
15,iter_015_b6241aee_prompt.txt,1.0,2.0,50.0,100.0,44.0,36.0,22.0,22.0,34.0,40.0,2.0,15.0,198.0,100.0,100.0,3.0,100.0,100.0,100.0,1.0,100.0,-1.0,1.0,-100.0,130.0,0.0,0.0,10.0,20.0,100.0,50.0,2.0,100.0,-50.0,50.0,100.0,50.0,2.0,100.0,0.0,0.99,-100.0,2.3,-100.0,130.0,-100.0,2.3,99.0,-100.0,227.7,127.7,100.0,0.0,100.0,2.0,100.0,100.0,2.0,0.0,0.99,2.0,100.0,0.0628319,0.0,0.0,0.0,25.0,2.0,1.0,50.0,0.0,75.0,3.0,2.0,-1.0,100.0,2.0,0.0,100.0,100.0,0.0,1.0,2.0,99.0,-100.0,130.0,0.0,99.0,100.0,0.0,1.0,0.99,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0
